"customer_state","total_orders","unique_customers","total_revenue","avg_order_value","avg_review_score","avg_delivery_days","revenue_rank"
"SP","40501","39156","5769703.15","142.46","4.25","8.3","1"
"RJ","12350","11917","2055401.57","166.43","3.98","14.8","2"
"MG","11354","11001","1818891.67","160.20","4.20","11.5","3"
"RS","5345","5168","861472.79","161.17","4.19","14.8","4"
"PR","4923","4769","781708.80","158.79","4.24","11.5","5"
"SC","3546","3449","595127.78","167.83","4.14","14.5","6"
"BA","3256","3158","591137.81","181.55","3.94","18.9","7"
"DF","2080","2019","346123.35","166.41","4.14","12.5","8"
"GO","1957","1895","334212.35","170.78","4.11","15.2","9"
"ES","1995","1928","317657.93","159.23","4.09","15.3","10"
"PE","1593","1551","308972.05","193.96","4.09","18.0","11"
"CE","1279","1258","266436.77","208.32","3.95","20.8","12"
"PA","946","922","212023.57","224.13","3.93","23.3","13"
"MT","886","856","181224.42","204.54","4.15","17.6","14"
"MA","717","700","147803.55","206.14","3.84","21.1","15"
"PB","517","504","137838.55","266.61","4.09","20.0","16"
"MS","701","681","134367.55","191.68","4.16","15.2","17"
"PI","476","464","105178.19","220.96","4.00","19.0","18"
"RN","474","464","100714.78","212.48","4.15","18.8","19"
"AL","397","387","94172.49","237.21","3.86","24.0","20"
"SE","335","329","70289.13","209.82","3.91","21.0","21"
"TO","274","267","60007.37","219.01","4.16","17.2","22"
"RO","243","231","56966.00","234.43","4.17","18.9","23"
"AM","145","140","27585.47","190.24","4.25","26.0","24"
"AC","80","76","19575.33","244.69","4.09","20.6","25"
"AP","67","66","16141.81","240.92","4.25","26.7","26"
"RR","41","40","9039.52","220.48","3.90","29.0","27"
