"customer_state","total_orders","avg_delivery_days","avg_delay_days","late_delivery_pct","avg_review_score"
"AL","397","24.0","-8.7","21.4","3.86"
"MA","717","21.1","-9.6","17.4","3.84"
"SE","335","21.0","-10.0","15.2","3.91"
"ES","1995","15.3","-10.5","10.7","4.09"
"CE","1279","20.8","-10.8","13.8","3.95"
"BA","3256","18.9","-10.8","12.2","3.94"
"MS","701","15.2","-11.1","9.7","4.16"
"SP","40501","8.3","-11.1","4.5","4.25"
"PI","476","19.0","-11.3","13.9","4.00"
"SC","3546","14.5","-11.5","8.2","4.14"
"RJ","12350","14.8","-11.8","12.1","3.98"
"DF","2080","12.5","-12.0","5.7","4.14"
"TO","274","17.2","-12.1","9.9","4.16"
"GO","1957","15.2","-12.2","6.5","4.11"
"MG","11354","11.5","-13.2","4.6","4.20"
"PE","1593","18.0","-13.3","9.6","4.09"
"PR","4923","11.5","-13.3","4.0","4.24"
"PB","517","20.0","-13.3","10.4","4.09"
"RN","474","18.8","-13.6","9.3","4.15"
"RS","5345","14.8","-13.9","6.1","4.19"
"PA","946","23.3","-14.1","11.2","3.93"
"MT","886","17.6","-14.4","6.0","4.15"
"AM","145","26.0","-19.6","2.8","4.25"
"RO","243","18.9","-20.1","2.9","4.17"
