"product_category","total_orders","cancelled_orders","cancellation_rate_pct"
"unknown_category","2164","178","8.23"
"dvds_blu_ray","59","2","3.39"
"fixed_telephony","217","3","1.38"
"books_general_interest","509","7","1.38"
"home_appliances_2","233","3","1.29"
"small_appliances","627","8","1.28"
"musical_instruments","625","8","1.28"
"construction_tools_safety","162","2","1.23"
"costruction_tools_garden","188","2","1.06"
"food_drink","224","2","0.89"
"fashion_male_clothing","112","1","0.89"
"fashion_shoes","238","2","0.84"
"kitchen_dining_laundry_garden_furniture","246","2","0.81"
"toys","3862","31","0.80"
"air_conditioning","252","2","0.79"
"christmas_supplies","128","1","0.78"
"consoles_games","1058","8","0.76"
"housewares","5836","37","0.63"
"auto","3881","24","0.62"
"sports_leisure","7683","47","0.61"
"baby","2839","16","0.56"
"computers_accessories","6661","35","0.53"
"stationery","2295","12","0.52"
"art","198","1","0.51"
"furniture_living_room","417","2","0.48"
"perfumery","3151","14","0.44"
"construction_tools_lights","233","1","0.43"
"cool_stuff","3604","15","0.42"
"health_beauty","8796","35","0.40"
"luggage_accessories","1023","4","0.39"
"telephony","4182","16","0.38"
"furniture_decor","6355","24","0.38"
"garden_tools","3482","13","0.37"
"market_place","274","1","0.36"
"watches_gifts","5601","20","0.36"
"drinks","294","1","0.34"
"fashion_bags_accessories","1857","6","0.32"
"audio","346","1","0.29"
"construction_tools_construction","740","2","0.27"
"home_appliances","764","2","0.26"
"electronics","2540","6","0.24"
"food","444","1","0.23"
"pet_shop","1705","4","0.23"
"home_construction","473","1","0.21"
"bed_bath_table","9315","18","0.19"
"office_furniture","1265","1","0.08"
"home_confort","375","0","0.00"
"furniture_bedroom","94","0","0.00"
"signaling_and_security","140","0","0.00"
"computers","180","0","0.00"
"small_appliances_home_oven_and_coffee","75","0","0.00"
"cine_photo","65","0","0.00"
"books_technical","259","0","0.00"
"tablets_printing_image","77","0","0.00"
"books_imported","53","0","0.00"
"fashion_underwear_beach","121","0","0.00"
"industry_commerce_and_business","232","0","0.00"
"agro_industry_and_commerce","182","0","0.00"
"costruction_tools_tools","97","0","0.00"
