"seller_state","seller_count","state_total_revenue","avg_revenue_per_seller","avg_item_price","total_orders_fulfilled"
"SP","1769","8509511.46","4810.35","165.18","69401"
"PR","335","1232096.99","3677.90","193.32","7556"
"MG","236","977866.31","4143.50","162.22","7747"
"RJ","163","820611.59","5034.43","206.34","4229"
"SC","184","613591.65","3334.74","182.01","3608"
"RS","125","373412.08","2987.30","206.21","1964"
"BA","18","277925.51","15440.31","380.83","550"
"DF","30","94840.31","3161.34","141.44","808"
"PE","9","91164.15","10129.35","555.39","403"
"GO","39","64806.59","1661.71","276.61","451"
"ES","22","46941.64","2133.71","203.93","310"
"MA","1","36097.98","36097.98","89.80","389"
"CE","12","19517.84","1626.49","158.04","87"
"MT","4","17007.82","4251.96","127.14","136"
"PB","6","16395.50","2732.58","370.95","35"
"RN","5","9992.60","1998.52","150.69","51"
"MS","5","8551.69","1710.34","161.21","49"
"RO","2","4762.20","2381.10","372.22","14"
"PI","1","2383.00","2383.00","216.64","11"
"SE","2","1606.20","803.10","160.62","9"
"PA","1","1238.00","1238.00","154.75","8"
"AM","1","1177.00","1177.00","392.33","3"
